ACCESS_label,HHLANP_label,HINCP,FS,NP
"Yes, by paying a cell phone company or Internet service provider",English only household,53000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,53000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,53000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,53000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,14200,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,118200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,118200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,8000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,8000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,8000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,105200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,105200,2,2
"Yes, by paying a cell phone company or Internet service provider",French,73700,2,3
"Yes, by paying a cell phone company or Internet service provider",French,73700,2,3
"Yes, by paying a cell phone company or Internet service provider",French,73700,2,3
"No access to the Internet at this house, apartment, or mobile home",English only household,33000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,371000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,371000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,371000,2,3
"Yes, without paying a cell phone company or Internet service provider",English only household,35000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,77300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,77300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,77300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,77300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,40200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,40200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,45200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,45200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,179200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,179200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,211000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,211000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,200200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,200200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,54500,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,54500,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,54500,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,110000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,110000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,110000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,44220,1,2
"Yes, by paying a cell phone company or Internet service provider",English only household,44220,1,2
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,34700,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,39000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,39000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,64500,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,64500,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,64500,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,64500,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,44900,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,40380,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,40380,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,24600,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,19600,1,1
"Yes, by paying a cell phone company or Internet service provider",English only household,24000,2,1
