ACCESS_label,HHLANP_label,HINCP,NRC,NP
"Yes, by paying a cell phone company or Internet service provider",English only household,53000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,53000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,53000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,53000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,14200,0,1
"Yes, by paying a cell phone company or Internet service provider",English only household,118200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,118200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,8000,0,3
"Yes, by paying a cell phone company or Internet service provider",English only household,8000,0,3
"Yes, by paying a cell phone company or Internet service provider",English only household,8000,0,3
"Yes, by paying a cell phone company or Internet service provider",English only household,105200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,105200,0,2
"Yes, by paying a cell phone company or Internet service provider",French,73700,1,3
"Yes, by paying a cell phone company or Internet service provider",French,73700,1,3
"Yes, by paying a cell phone company or Internet service provider",French,73700,1,3
"No access to the Internet at this house, apartment, or mobile home",English only household,33000,0,1
"Yes, by paying a cell phone company or Internet service provider",English only household,371000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,371000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,371000,1,3
"Yes, without paying a cell phone company or Internet service provider",English only household,35000,0,1
"Yes, by paying a cell phone company or Internet service provider",English only household,77300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,77300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,77300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,77300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,40200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,40200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,45200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,45200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,179200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,179200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,211000,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,211000,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,200200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,200200,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,54500,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,54500,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,54500,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,110000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,110000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,110000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,44220,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,44220,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,34700,0,1
"Yes, by paying a cell phone company or Internet service provider",English only household,39000,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,39000,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,64500,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,64500,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,64500,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,64500,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,44900,0,1
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,85000,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,40380,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,40380,0,2
"Yes, by paying a cell phone company or Internet service provider",English only household,24600,0,1
"Yes, by paying a cell phone company or Internet service provider",English only household,19600,0,1
"Yes, by paying a cell phone company or Internet service provider",English only household,24000,0,1
